Id_code,PoolID,Foundation_spp,Day_Night,Before_After,Removal_Control,Group,Time_Point,Sampling_Day,Sampling_time,Wind_Speed.m.s,DO_mg_L,DO_p,Conductivity,Salinity,Temp.pool,Temp.in,date_triscal,mVolts,pH.pre,Notes
D1_Ocean_1_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,1,7082019,8:48,1.4,8.28,94.5,52.4,34.3,11.9,14.537,20190710,-53.2,7.842657207,
D_1_1_BC,1,Phyllospadix,Day,Before,Control,Before_Control,1,7082019,8:59,0.9,9.1,105.4,52.7,34.6,12.6,14.966,20190710,-56.1,7.890223326,
D_2_1_BC,2,Phyllospadix,Day,Before,Removal,Before_Removal,1,7082019,9:04,0.9,9.99,118.2,52.7,34.7,12.8,14.29,20190710,-66.7,8.081177287,only 1 push through sterivex
D_3_1_BC,3,Phyllospadix,Day,Before,Removal,Before_Removal,1,7082019,9:07,0.7,10.28,121.6,52.8,34.8,12.7,14.774,20190710,-62.3,8.00019459,2.5 pushes
D_4_1_BC,4,Phyllospadix,Day,Before,Control,Before_Control,1,7082019,9:10,0.7,10.21,119,51.7,34.9,13.2,14.886,20190710,-67.8,8.095540768,pumped 2 x 550;nutrients at 35 ml
D_5_1_BC,5,Phyllospadix,Day,Before,Control,Before_Control,1,7082019,9:13,0.7,11.72,137.2,52.4,34.5,13.4,15.491,20190710,-78,8.268647462,
D_6_1_BC,6,Phyllospadix,Day,Before,Removal,Before_Removal,1,7082019,9:17,1,9.66,113.8,52.5,34.6,13.8,15.495,20190710,-68.3,8.099249825,"sun, 2.5 pushes"
D_7_1_BC,7,Phyllospadix,Day,Before,Removal,Before_Removal,1,7082019,9:37,0.3,10.34,120.3,52.6,34.6,13.1,15.931,20190710,-64.6,8.031142905,170 thru sterivex
D_8_1_BC,8,Phyllospadix,Day,Before,Control,Before_Control,1,7082019,9:42,0.3,9.47,111.3,52.5,34.5,13.5,16.183,20190710,-65.3,8.041312013,
D_9_1_BC,9,Mytilus,Day,Before,Control,Before_Control,1,7082019,9:47,0.3,7.63,87.6,52.4,34.5,12.8,15.978,20190710,-45.8,7.703065264,
D_10_1_BC,10,Mytilus,Day,Before,Removal,Before_Removal,1,7082019,9:50,0.3,7.86,90.2,51.9,34.1,12.8,15.699,20190710,-45.4,7.69801166,
D_11_1_BC,11,Mytilus,Day,Before,Removal,Before_Removal,1,7082019,9:52,0.3,6.29,72.1,52.6,34.6,13.1,15.764,20190710,-28,7.394043014,
D_12_1_BC,12,Mytilus,Day,Before,Control,Before_Control,1,7082019,9:54,0.3,9.48,112.1,52.5,34.6,13.6,16.326,20190710,-51.4,7.798160518,
D_13_1_BC,13,Mytilus,Day,Before,Control,Before_Control,1,7082019,9:57,0.4,8.12,95.1,52.8,34.7,13.5,16.758,20190710,-39.5,7.588168728,rubber stopper in sample
D_14_1_BC,14,Mytilus,Day,Before,Control,Before_Control,1,7082019,9:59,0.4,6.34,72.1,53,34.8,12.8,16.601,20190710,-31.8,7.455262197,
D_15_1_BC,15,Mytilus,Day,Before,Removal,Before_Removal,1,7082019,10:02,0.4,8.86,105.7,52.6,34.6,13.8,17.464,20190710,-53.9,7.833294297,
D_16_1_BC,16,Mytilus,Day,Before,Removal,Before_Removal,1,7082019,10:05,0.7,7.2,85.8,52.5,34.6,14.1,17.494,20190710,-35.1,7.507082549,
D2_Ocean_1_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,1,7092019,9:46,1.7,9.25,106.6,52.4,34.4,12.3,15.383,20190710,-53.6,7.843413954,
D_17_1_BC,17,Mytilus,Day,Before,Removal,Before_Removal,1,7092019,9:52,1.7,9.36,110,52.5,34.6,13.6,14.628,20190710,-58,7.926047001,
D_18_1_BC,18,Phyllospadix,Day,Before,Control,Before_Control,1,7092019,9:59,1.8,8.79,103.5,52.4,34.5,13.4,14.14,20190710,-55.5,7.885933186,40mL extra water
D_19_1_BC,19,Mytilus,Day,Before,Control,Before_Control,1,7092019,9:55,1.8,8.55,99,52.5,34.6,12.9,14.046,20190710,-52,7.825221891,
D_20_1_BC,20,Phyllospadix,Day,Before,Control,Before_Control,1,7092019,10:01,1.8,11.35,133,52.5,34.5,12.9,13.941,20190710,-65.2,8.057709347,80mL extra
D_21_1_BC,21,Phyllospadix,Day,Before,Removal,Before_Removal,1,7092019,10:03,1.8,10.23,121.3,52.7,34.7,13.6,14.766,20190710,-68.6,8.110534615,
D_22_1_BC,22,Phyllospadix,Day,Before,Removal,Before_Removal,1,7092019,10:06,1.8,9.89,116.3,52.6,34.6,13.5,14.124,20190710,-65,8.052715352,
D_23_1_BC,23,Mytilus,Day,Before,Removal,Before_Removal,1,7092019,10:11,1.8,8.88,105.5,52.5,34.5,13.7,14.641,20190710,-48.2,7.754331413,
D_24_1_BC,24,Mytilus,Day,Before,Removal,Before_Removal,1,7092019,10:12,1.8,8.44,99,52.5,34.6,13.5,14.513,20190710,-42,7.646614338,
D_25_1_BC,25,Mytilus,Day,Before,Control,Before_Control,1,7092019,10:14,1.8,7.23,83.7,52.6,34.6,13,14.379,20190710,-36.8,7.556366539,
D_26_1_BC,26,Phyllospadix,Day,Before,Removal,Before_Removal,1,7092019,10:19,1.9,9.78,114.4,52.6,34.6,13.1,14.891,20190710,-69.1,8.118245133,
D_27_1_BC,27,Phyllospadix,Day,Before,Control,Before_Control,1,7092019,10:21,1.9,10.62,124.1,52.5,34.6,13,14.771,20190710,-67,8.082486811,
D_28_1_BC,28,Phyllospadix,Day,Before,Removal,Before_Removal,1,7092019,10:23,1.9,10.82,127.3,52.7,34.7,13.5,14.732,20190710,-75.3,8.228109169,10 extra pumps (100mL)
D_29_1_BC,29,Phyllospadix,Day,Before,Control,Before_Control,1,7092019,10:25,1.9,12.35,148.3,52.5,34.6,13.9,15.841,20190710,-87.1,8.4242462,
D_30_1_BC,30,Mytilus,Day,Before,Control,Before_Control,1,7092019,10:28,1.9,9.01,105.2,52.6,34.6,13.5,15.36,20190710,-47.4,7.735280909,
D_31_1_BC,31,Mytilus,Day,Before,Control,Before_Control,1,7092019,10:32,1.9,7.6,90.3,52.4,34.5,13.8,15.041,20190710,-32,7.468208461,
D_32_1_BC,32,Mytilus,Day,Before,Removal,Before_Removal,1,7092019,10:35,1.8,6.98,80.8,52.8,34.8,13.2,15.142,20190710,-33,7.485076243,
D1_Ocean_2_BC,Ocean,Ocean,Day,Before,Ocean,Before_Ocean,2,7082019,10:12,0.7,9.43,109.4,52.4,34.5,12.3,18.115,20190710,-56.8,7.878680613,
D_1_2_BC,1,Phyllospadix,Day,Before,Control,Before_Control,2,7082019,10:21,1.2,9.24,96.6,53,34.9,13.3,17.408,20190710,-60.2,7.942980712,
D_2_2_BC,2,Phyllospadix,Day,Before,Removal,Before_Removal,2,7082019,10:23,1.2,11.26,133,52.7,34.7,13.6,18.261,20190710,-74.6,8.185419867,
