Id_code,PO_ug_L,NO2N_ug_L,NN_ug_L,NH4_ug_L
D1_Ocean_1_BC,24,-1.04,37,43.8
D_1_1_BC,11.9,15.2,32.8,115
D_2_1_BC,30.2,2.02,8.84,81.4
D_3_1_BC,25.8,2.68,15.24,67.2
D_4_1_BC,15.22,8.68,14.04,72
D_5_1_BC,16.06,0.522,19.02,35.8
D_6_1_BC,86.5,10.4,37.6,10.3
D_7_1_BC,29.2,4.74,12.26,122.4
D_8_1_BC,38.2,-1.71,13.5,134
D_9_1_BC,39.2,20.4,74.6,190.6
D_10_1_BC,55.8,7.18,114.4,191.8
D_11_1_BC,36.6,5.1,129.8,302
D_12_1_BC,38.2,9.02,70.2,170.4
D_13_1_BC,38.2,-0.397,56.2,181.8
D_14_1_BC,43,14.26,117.6,312
D_15_1_BC,66.4,15.42,74.4,236
D_16_1_BC,41.2,21.7,179,188.6
D2_Ocean_1_BC,15.16,-1.13,53.2,22.8
D_17_1_BC,16.76,14.2,74.8,85.2
D_18_1_BC,27,4.44,33.4,70.8
D_19_1_BC,30.2,4.2,41.4,119.4
D_20_1_BC,25.4,-0.0587,25.2,53
D_21_1_BC,17.98,-1.19,29.6,81.2
D_22_1_BC,15.06,-2.28,39.2,82.6
D_23_1_BC,21,8.73,78.4,108.6
D_24_1_BC,#N/A,#N/A,#N/A,#N/A
D_25_1_BC,42.6,7.8,92,246
D_26_1_BC,16.4,6.8,35.4,38
D_27_1_BC,30.6,-0.541,18.82,73.8
D_28_1_BC,20.8,6.54,18.44,64.6
D_29_1_BC,17.3,-0.303,10.5,119
D_30_1_BC,39.8,9.92,82,172
D_31_1_BC,49.4,1.226,100.6,204
D_32_1_BC,46.4,8,111,234
D1_Ocean_2_BC,24.6,5.02,29.8,56.4
D_1_2_BC,14.7,10.7,20.4,61.4
D_2_2_BC,16.02,3.02,7.88,87
D_3_2_BC,21.4,6.42,9.76,77.6
D_4_2_BC,15.92,2.68,14.32,84.4
D_5_2_BC,16.88,-0.696,21.8,53.2
D_6_2_BC,20.8,15.3,56.2,143.6
D_7_2_BC,26.4,-0.155,25.4,67
D_8_2_BC,42.1,-0.792,24.3,199
D_9_2_BC,44.2,16.72,107.8,172.2
D_10_2_BC,86,10.76,234,238
D_11_2_BC,35.8,17.44,145.6,318
D_12_2_BC,37.6,8.34,55.4,216
D_13_2_BC,57,3.4,111.4,342
D_14_2_BC,29,7.02,79.2,185.8
D_15_2_BC,43.4,12.6,54.8,192.6
D_16_2_BC,40.8,23.4,270,220
D2_Ocean_2_BC,18.52,-1.62,49.4,22.2
D_17_2_BC,32.8,11.68,35.8,173
D_18_2_BC,24.8,12.9,30.6,85.2
D_19_2_BC,33.8,13.52,54,190
D_20_2_BC,27,7.96,21.2,55.2
D_21_2_BC,23,-1.55,35.4,90.4
D_22_2_BC,35.8,15.74,56.2,125.8
D_23_2_BC,22,16.7,118,146.6
D_24_2_BC,33.8,4.54,44.2,234
D_25_2_BC,65.2,12.44,141.8,326
D_26_2_BC,19.38,6.34,45.6,87
D_27_2_BC,20.4,3.02,24.8,49.8
D_28_2_BC,20.6,14.4,18.94,77.2
D_29_2_BC,22.2,7.7,6.41,54.4
D_30_2_BC,67.2,18.32,199.2,288
D_31_2_BC,65.4,30.8,176.4,284
D_32_2_BC,50.4,16.1,131.8,210
D1_Ocean_3_BC,23.8,24.6,27,60.4
D_1_3_BC,16.34,14.6,36.8,114.4
D_2_3_BC,25.2,5.28,10.34,69.4
D_3_3_BC,24.6,3,12.22,76.2
D_4_3_BC,24,2.8,15.56,171.2
D_5_3_BC,18.04,1.672,23.4,80.8
D_6_3_BC,19.06,22.4,80.3,134.6
D_7_3_BC,59,9.64,18.08,144.6
D_8_3_BC,58.7,5.97,28.1,275
D_9_3_BC,44,15,107,148.6
D_10_3_BC,119,24.8,428,332
D_11_3_BC,60,20,220,434
D_12_3_BC,46.2,17.66,70.2,242
D_13_3_BC,71.6,16.92,171.8,458
D_14_3_BC,74.4,18.8,176.6,294
D_15_3_BC,38.4,14.18,64.6,210
D_16_3_BC,38.6,45,399,268
D2_Ocean_3_BC,17,2.94,53.2,111.8
D_17_3_BC,29,7.96,35.2,162.6
D_18_3_BC,34.8,8,31.8,152.2
D_19_3_BC,42.2,22.8,68.4,224
D_20_3_BC,31.2,7.72,17.08,123.6
D_21_3_BC,23.2,1.402,47,104.4
D_22_3_BC,25.2,0.1046,78.2,91.8
D_23_3_BC,28.6,22.7,134,194.2
D_24_3_BC,33,9.46,50.8,262
D_25_3_BC,76.6,18.9,186.2,380
D_26_3_BC,23.4,10.18,57.6,242
D_27_3_BC,40,1.714,39.8,86.6
D_28_3_BC,18.7,3.74,27.4,42.6
