Id_code,Salinity_Lab
D1_Ocean_1_BC,32.81
D_1_1_BC,33.09
D_2_1_BC,32.99
D_3_1_BC,32.88
D_4_1_BC,32.86
D_5_1_BC,32.95
D_6_1_BC,33.03
D_7_1_BC,33.01
D_8_1_BC,33.05
D_9_1_BC,33.01
D_10_1_BC,33.08
D_11_1_BC,33.24
D_12_1_BC,33.23
D_13_1_BC,33.84
D_14_1_BC,33.84
D_15_1_BC,34.51
D_16_1_BC,34.64
D2_Ocean_1_BC,33.56
D_17_1_BC,34.04
D_18_1_BC,33.87
D_19_1_BC,34.02
D_20_1_BC,34.02
D_21_1_BC,33.89
D_22_1_BC,35.06
D_23_1_BC,34.16
D_24_1_BC,34.64
D_25_1_BC,34.07
D_26_1_BC,34.65
D_27_1_BC,34.12
D_28_1_BC,34.06
D_29_1_BC,34.61
D_30_1_BC,34.61
D_31_1_BC,34.9
D_32_1_BC,34.21
D1_Ocean_2_BC,32.79
D_1_2_BC,33
D_2_2_BC,32.93
D_3_2_BC,32.86
D_4_2_BC,32.95
D_5_2_BC,32.98
D_6_2_BC,33.04
D_7_2_BC,32.93
D_8_2_BC,33.09
D_9_2_BC,33.12
D_10_2_BC,33.07
D_11_2_BC,33.22
D_12_2_BC,31.77
D_13_2_BC,33.79
D_14_2_BC,34.44
D_15_2_BC,33.79
D_16_2_BC,33.86
D2_Ocean_2_BC,33.66
D_17_2_BC,33.89
D_18_2_BC,33.79
D_19_2_BC,33.84
D_20_2_BC,33.85
D_21_2_BC,33.91
D_22_2_BC,34.13
D_23_2_BC,35.03
D_24_2_BC,34.7
D_25_2_BC,34.67
D_26_2_BC,34.14
D_27_2_BC,34.14
D_28_2_BC,34.56
D_29_2_BC,34.68
D_30_2_BC,34.61
D_31_2_BC,34.22
D_32_2_BC,34.91
D1_Ocean_3_BC,32.86
D_1_3_BC,32.94
D_2_3_BC,32.82
D_3_3_BC,32.86
D_4_3_BC,32.92
D_5_3_BC,32.98
