date_triscal,TTris,mVTris
20190710,9.01,-93.4
20190710,10.826,-90.6
20190710,12.583,-87.9
20190710,14.841,-84.4
20190710,16.342,-82.2
20190710,18.891,-78.8
20190710,20.989,-76.1
20190804,8.422,-94.8
20190804,9.977,-93.1
20190804,11.371,-90.2
20190804,12.976,-89
20190804,15.543,-85
20190804,18.052,-82.5
20190804,20.556,-78.1
20190804,22.102,-77.1
20190804,26.145,-70.5
20190808,8.881,-94
20190808,10.388,-92
20190808,12.57,-89.3
20190808,16.053,-84
20190808,19.007,-79.4
20190808,23.61,-72.7
