Sessiles.PoolID,Sessiles.Foundation_spp,Sessiles.Removal_Control,Sessiles.Before_After,Rock,Sand,Bleached.CCA,Mytilus.californianus,Phyllospadix.spp,Diatoms,Crustose.coralline,Algae.film,Turf.algae,Noncoralline.crust,Bosiella.spp,Calliarthron.tuberculosum,Corallina.vancouveriensis,Corallina.spp,Acrosiphonia.coalita,Analipus.japonicus,Chaetomorpha.linum,Centroceras.Ceramium,Cladophora.columbiana,Cryptosiphonia.wooddii,Costaria.costata,Cumagloia.andersonii,Erythrophyllum.delessrioides,Endocladia.muricata,Fucus.gardneri,Halosaccion.glandiforme,Pyropia.spp,Polysiphonia.spp,Ptilota.spp,Cryptopluera.spp,Odonthalia.floccosa,Microcladia.borealis,Mazzaella.splendens,Mazzaella.flaccida,Mazzaella.oregona,Neorhodomela.larix,Odanthalia.washingtoniensis,Scytosiphon.lomentaria,Osmundea.spectabilis,Ulva.spp,Plocamium.pacificum,Smithura.naiadum,Mastocarpus,Farlowia.mollis,Savoiea.robusta,Palmaria.hecatensis,Melobesia.mediocris,Leathesia.marina,Callithamnion.pikeanum,Laminara.setchellii,Schizymenia.pacifica,Chthamalus,Semibalanus.cariosus,Balanus.nibulis,Balanus.glandula,Pollicipes.polymerus,tube.worm,Ophlitaspongia.pennata,Halichondria,Haliclona.permollis,Anthropluera.elegantissima,Anthropluera.xanthogrammica,Urticina.coriacea,Epiactis.prolifera,Anthopleura.artemisia,Stylantheca.spp,DiatomPresent
1,Phyllospadix,Control,Before,0,1.8087333205193363,0,0,2.617408592524825,0.9977427951641359,1.8722938969936707,0,0.6310279503483004,1.1235440688971352,1.6182481678204013,0.9744935040085918,0.8592296849070157,1.0218020547129691,0,0,0,1.186522830951893,0.27768755267310896,0.5306291413727848,0.415239743450037,0,0,0,0,0,0,0,0,0,1.4283377779965345,1.254595144864678,0,0.3155139751741502,0,0,0,0,0,0.21099691198228449,0.6229877360529973,1.6182481678204013,0,0.21099691198228449,0,0,0.8126092647072527,0,0.9744935040085918,0,0,0,0,0,0,0,0.3155139751741502,0.29839469454418893,0,0,0,0.931583951822617,0,0.5132076369063698,0,0,Yes
2,Phyllospadix,Removal,Before,1.6209248478057674,1.4931244389028324,0,0,2.742940221535746,0,1.7426673493364035,0,0,1.0251628870056015,1.775634206327694,1.6176732269240435,0,0.6379926716758479,0,0,0,0,0,0,0,0,0,0,0,0.32418496956115345,0,0,0,0,0.8620557967341592,0.7587054244765133,0.8152820362538784,0,0,0.4076410181269392,0,0,0.4847695991235093,0.7885148677579317,0.5764914564146941,0.8620557967341592,0,0,0,0,0,0,0,0,0,0.22923339033544612,0,0,0,0,0,0,0,0,0,1.1529829128293883,0,0,0,0,No
3,Phyllospadix,Removal,Before,1.441705679291312,1.6478830050949997,0,0,2.8377004455486885,0,1.7461997241580127,0,0,0.5568968091035491,1.4131866004626754,1.217354480952382,0.4682925304414066,0.5568968091035491,0,0,0,1.4423739092177812,0,0.5984245661911487,0.20009531345002593,0,0,0,0,0.47590954086694104,0,0,0,0.770624100639183,0,0.9111796898653729,0.4682925304414066,0.5320830422595971,0,0,0,0,0,0.5888466826478383,0.4231500687823792,0.9600765990084705,0,0,0.4231500687823792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4231500687823792,0,0,0.9111796898653729,0.7225187921457344,0,0.4231500687823792,0,No
4,Phyllospadix,Control,Before,1.3068043287426634,1.3312411549080203,0,0.6057069249488729,2.5152052960934195,0,2.532646399608108,0,0,1.1218270341726349,1.5450166196630046,1.241798676465445,0.4914372400728348,0,0,0,0,0.8381666884409441,0,0,0,0,0,0,0,0,0,0,0,0.5473179909841595,0,0.4352659775572906,0,0,0,0.6057069249488729,0,0,0,0,0.38701226289029683,0,0,0,0,0,1.094635981968319,0,0,0,0,0.25881069871487233,0,0,0,0,0.25881069871487233,0,0,0,0,0.9057431119995504,0,0.4209754164462386,0,0,No
5,Phyllospadix,Control,Before,1.241123949812477,1.5109688353237867,0,0,2.8274503762991827,0,1.996391336988965,0,0.8393791593587956,0.928925739435634,1.3234431817368284,1.198036931860438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39691789836786023,0,0,0,0,0,0.6212100822906342,0,0,0,0,0,0,0,0.31565718629569434,0,1.5355454933381065,0,0,0,0,0,0,0,0,0,0.34933210089692107,0,0,0,0,0,0.43175034380690963,0,0,0.39691789836786023,0.738747449771448,0.5613266750204536,0,0.43175034380690963,0,No
6,Phyllospadix,Removal,Before,1.4556222867997677,1.2615027884493724,0,0,2.7895167958017177,0,2.3161546119068834,0,0,1.173960624701834,0,0.9116336706573077,0,0.32755372647117076,0,0,0,0,0,0.4898070656631342,0,0,0,0,0,0,0,0,0,0,0.644622350479766,0.9300598225379014,0,0,0,0,0,0,0,0.32755372647117076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46323092238137675,0.32755372647117076,0,No
7,Phyllospadix,Removal,Before,1.6232760129695785,1.3493446524246586,0,0,2.6034553209625004,0,1.6728317999853979,0,0,0.7147792920201844,1.9601085105018132,0.6759965177173202,1.017110004599288,1.1906788608693106,0,0,0,0,0.22603305871063997,0,0,0,0,0,0,0.5289958630313082,0,0,0,0.9979708617436598,1.1808943104884502,0,0.5289958630313082,0,0,0.5684430484724886,0,0,0,0.6538023420973655,0,1.928594524450576,0.22603305871063997,0,0,0,0,0,0,0,0,0.3379982588586601,0,0,0,0,0.4780017217364092,0.40194993429325004,0,0,0,0.7661528912087735,0,0.22603305871063997,0,0,No
8,Phyllospadix,Control,Before,1.7395797375642232,1.190087721985485,0,1.069473013768554,2.561349277320877,0,1.9405603385152963,0,0,1.0511846841633774,2.0517665326102597,1.358041893281755,0.8206308729882601,0.8322191174109219,0,0,0,0,0.40218635235504513,0,0,0,0,0,0,0.6111910856028174,0,0,0,0.4782828717776111,0,0.7685321029611873,0.715199709391636,0.6833324073248964,0,1.2500763055889768,0,0,0,0,0,1.111492477603201,0,0,0,0,0,0.3055955428014087,0,0,0,0.45697192247472385,0,0,0,0,0,0,0,0,0.5434342615634135,1.163327084229503,0,0,0.45697192247472385,0,No
9,Mytilus,Control,Before,1.5545148347915765,0,0,2.8503539411613628,0,0,0.7223608532999838,0,1.1500890633693217,1.3014422359364917,0.641320984696816,0,0,0.5134817934106664,0,0,0,0,0,1.620582733532551,0,0,0,0.605482693300048,0,0,0,0,0,0.41661084756904093,1.4654061329435109,1.2606698318388343,0,0.6168999570787665,0,0,0,0,0,0.37462733867562836,0.46398317734305455,0,0,0,1.2523471602144798,0,0,0,0,0,0.6938166787470861,1.2741852900552524,1.0586308781083564,0.9781242125618516,0.5197833623544456,0.4083570400543128,0,0,0,0.5134817934106664,0.37462733867562836,0.9805911280220777,0,0,0,0,No
10,Mytilus,Removal,Before,1.945521991785835,0,0,2.8699404412988696,0,0,0.9698872244783134,0,0.8251151976340338,1.1020046477416707,0,0,0,0.4530711566672162,0,0,0,0,0,0,0,0,0,0.5962751753080506,0,0,0,0,0,0.428488244699383,1.8280071225700065,0.9921980612414835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5387954431111661,0.5697068184184723,0.7666901402137967,0.3809859114963162,0.4530711566672162,0,0,0,0,0.47420019321293433,1.1925503506161013,0,0,0,0,No
