Species,Phylum,Class,Order,Functional_Group
Diatoms,Ochrophyta,Bacillariophyceae,unk,Microalgae
Crustose.coralline,Rhodophyta,Florideophyceae,Corallinales,Crustose
Algae.film,unk,unk,unk,Microalgae
Turf.algae,unk,unk,unk,Microalgae
Noncoralline.crust,unk,unk,unk,Crustose
Bosiella.spp,Rhodophyta,Florideophyceae,Corallinales,ArticulatedCorallines
Calliarthron.tuberculosum,Rhodophyta,Florideophyceae,Corallinales,ArticulatedCorallines
Corallina.vancouveriensis,Rhodophyta,Florideophyceae,Corallinales,ArticulatedCorallines
Corallina.spp,Rhodophyta,Florideophyceae,Corallinales,ArticulatedCorallines
Acrosiphonia.coalita,Chlorophyta,Ulvophyceae,Ulotrichales,CorticatedFoliose
Analipus.japonicus,Ochrophyta,Phaeophyceae,Ralfsiales,CorticatedMacro
Chaetomorpha.linum,Chlorophyta,Ulvophyceae,Cladophorales,CorticatedFoliose
Centroceras.Ceramium,Rhodophyta,Florideophyceae,Ceramiales,Filamentous
Cladophora.columbiana,Chlorophyta,Ulvophyceae,Cladophorales,Filamentous
Cryptosiphonia.wooddii,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro
Costaria.costata,Ochrophyta,Phaeophyceae,Laminariales,LeatheryMacro
Cumagloia.andersonii,Rhodophyta,Florideophyceae,Nemaliales,CorticatedMacro
Erythrophyllum.delessrioides,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro
Endocladia.muricata,Rhodophyta,Florideophyceae,Gigartinales,CorticatedFoliose
Fucus.gardneri,Ochrophyta,Phaeophyceae,Fucales,LeatheryMacro
Halosaccion.glandiforme,Rhodophyta,Florideophyceae,Palmariales,CorticatedMacro
Pyropia.spp,Rhodophyta,Bangiophyceae,Bangiales,FoiloseAlgae
Polysiphonia.spp,Rhodophyta,Florideophyceae,Ceramiales,Filamentous
Ptilota.spp,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro
Cryptopluera.spp,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro
Odonthalia.floccosa,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro
Microcladia.borealis,Rhodophyta,Florideophyceae,Ceramiales,CorticatedFoliose
Mazzaella.splendens,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro
Mazzaella.flaccida,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro
Mazzaella.oregona,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro
Neorhodomela.larix,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro
Odanthalia.washingtoniensis,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro
Scytosiphon.lomentaria,Ochrophyta,Phaeophyceae,Scytosiphonales,FoiloseAlgae
Osmundea.spectabilis,Rhodophyta,Florideophyceae,Ceramiales,CorticatedMacro
Ulva.spp,Chlorophyta,Ulvophyceae,Ulvales,FoiloseAlgae
Plocamium.pacificum,Rhodophyta,Florideophyceae,Plocamiales,CorticatedMacro
Smithura.naiadum,Rhodophyta,Compsopogonophyceae,Erythropeltidales,FoiloseAlgae
Mastocarpus,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro
Farlowia.mollis,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro
Savoiea.robusta,Rhodophyta,Florideophyceae,Ceramiales,Filamentous
Palmaria.hecatensis,Rhodophyta,Florideophyceae,Palmariales,CorticatedMacro
Melobesia.mediocris,Rhodophyta,Florideophyceae,Corallinales,Crustose
Leathesia.marina,Ochrophyta,Phaeophyceae,Ectocarpales,CorticatedMacro
Callithamnion.pikeanum,Rhodophyta,Florideophyceae,Ceramiales,CorticatedFoliose
Laminara.setchellii,Ochrophyta,Phaeophyceae,Laminariales,LeatheryMacro
Schizymenia.pacifica,Rhodophyta,Florideophyceae,Gigartinales,CorticatedMacro
Chthamalus,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder
Semibalanus.cariosus,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder
Balanus.nibulis,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder
Balanus.glandula,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder
Pollicipes.polymerus,Arthropoda,Maxillopoda,Sessilia,SuspensionFeeder
tube.worm,Annelida,Polychaeta,Canalipalpata,SuspensionFeeder
Ophlitaspongia.pennata,Porifera,Demospongiae,Poecilosclerida,SuspensionFeeder
Halichondria,Porifera,Demospongiae,Suberitida,SuspensionFeeder
Haliclona.permollis,Porifera,Demospongiae,Haplosclerida,SuspensionFeeder
Anthropluera.elegantissima,Cnidaria,Anthozoa,Actiniaria,Anemone
Anthropluera.xanthogrammica,Cnidaria,Anthozoa,Actiniaria,Anemone
Urticina.coriacea,Cnidaria,Anthozoa,Actiniaria,Anemone
Epiactis.prolifera,Cnidaria,Anthozoa,Actiniaria,Anemone
Anthopleura.artemisia,Cnidaria,Anthozoa,Actiniaria,Anemone
Stylantheca.spp,Cnidaria,Hydrozoa,Anthoathecata,SuspensionFeeder
Mytilus.californianus,Mollusca,Bivalvia,Mytilida,SuspensionFeeder
Phyllospadix.spp,Tracheophyta,Monocots,Alismatales,LeatheryMacro
