PoolID,Foundation_spp,Removal_Control,Date.Time,Temp.C,Intensity.lux,LoggerDepth
18,Phyllospadix,Control,6/15/19 23:45,9.78,0,0.15
18,Phyllospadix,Control,6/16/19 0:00,10.12,0,0.15
18,Phyllospadix,Control,6/16/19 0:15,10.04,0,0.15
18,Phyllospadix,Control,6/16/19 0:30,9.91,0,0.15
18,Phyllospadix,Control,6/16/19 0:45,9.91,0,0.15
18,Phyllospadix,Control,6/16/19 1:00,9.82,0,0.15
18,Phyllospadix,Control,6/16/19 1:15,9.74,0,0.15
18,Phyllospadix,Control,6/16/19 1:30,9.48,0,0.15
18,Phyllospadix,Control,6/16/19 1:45,9.44,0,0.15
18,Phyllospadix,Control,6/16/19 2:00,9.69,0,0.15
18,Phyllospadix,Control,6/16/19 2:15,9.78,0,0.15
18,Phyllospadix,Control,6/16/19 2:30,9.86,0,0.15
18,Phyllospadix,Control,6/16/19 2:45,9.91,0,0.15
18,Phyllospadix,Control,6/16/19 3:00,9.95,0,0.15
18,Phyllospadix,Control,6/16/19 3:15,9.99,0,0.15
18,Phyllospadix,Control,6/16/19 3:30,10.04,0,0.15
18,Phyllospadix,Control,6/16/19 3:45,9.99,0,0.15
18,Phyllospadix,Control,6/16/19 4:00,10.08,0,0.15
18,Phyllospadix,Control,6/16/19 4:15,10.04,0,0.15
18,Phyllospadix,Control,6/16/19 4:30,10.08,0,0.15
18,Phyllospadix,Control,6/16/19 4:45,10.04,0,0.15
18,Phyllospadix,Control,6/16/19 5:00,10.04,1,0.15
18,Phyllospadix,Control,6/16/19 5:15,10.04,11,0.15
18,Phyllospadix,Control,6/16/19 5:30,10.08,67,0.15
18,Phyllospadix,Control,6/16/19 5:45,10.08,164,0.15
18,Phyllospadix,Control,6/16/19 6:00,10.08,376,0.15
18,Phyllospadix,Control,6/16/19 6:15,10.16,594,0.15
18,Phyllospadix,Control,6/16/19 6:30,10.25,936,0.15
18,Phyllospadix,Control,6/16/19 6:45,10.25,"1,002",0.15
18,Phyllospadix,Control,6/16/19 7:00,10.34,"1,114",0.15
18,Phyllospadix,Control,6/16/19 7:15,10.38,"1,471",0.15
18,Phyllospadix,Control,6/16/19 7:30,10.46,"1,733",0.15
18,Phyllospadix,Control,6/16/19 7:45,10.72,"4,512",0.15
18,Phyllospadix,Control,6/16/19 8:00,10.89,"5,039",0.15
18,Phyllospadix,Control,6/16/19 8:15,11.24,"10,207",0.15
18,Phyllospadix,Control,6/16/19 8:30,11.71,"17,766",0.15
18,Phyllospadix,Control,6/16/19 8:45,12.22,"22,548",0.15
18,Phyllospadix,Control,6/16/19 9:00,12.78,"22,764",0.15
18,Phyllospadix,Control,6/16/19 9:15,13.34,"20,936",0.15
18,Phyllospadix,Control,6/16/19 9:30,14.11,"29,471",0.15
18,Phyllospadix,Control,6/16/19 9:45,14.75,"24,750",0.15
18,Phyllospadix,Control,6/16/19 10:00,16.64,"45,814",0.15
18,Phyllospadix,Control,6/16/19 10:15,20.12,"39,967",0.15
18,Phyllospadix,Control,6/16/19 10:30,25.78,"76,923",0.15
18,Phyllospadix,Control,6/16/19 10:45,27.41,"78,131",0.15
18,Phyllospadix,Control,6/16/19 11:00,18.57,"54,067",0.15
18,Phyllospadix,Control,6/16/19 11:15,14.54,"5,837",0.15
18,Phyllospadix,Control,6/16/19 11:30,14.15,"60,006",0.15
18,Phyllospadix,Control,6/16/19 11:45,12.87,"29,256",0.15
18,Phyllospadix,Control,6/16/19 12:00,12.44,"13,261",0.15
18,Phyllospadix,Control,6/16/19 12:15,11.97,"53,268",0.15
18,Phyllospadix,Control,6/16/19 12:30,11.32,"15,427",0.15
18,Phyllospadix,Control,6/16/19 12:45,11.32,"60,641",0.15
18,Phyllospadix,Control,6/16/19 13:00,10.68,"9,362",0.15
18,Phyllospadix,Control,6/16/19 13:15,11.28,"27,689",0.15
18,Phyllospadix,Control,6/16/19 13:30,11.49,"78,930",0.15
18,Phyllospadix,Control,6/16/19 13:45,11.79,"88,760",0.15
18,Phyllospadix,Control,6/16/19 14:00,11.92,"27,679",0.15
18,Phyllospadix,Control,6/16/19 14:15,11.79,"27,259",0.15
18,Phyllospadix,Control,6/16/19 14:30,11.84,"11,218",0.15
18,Phyllospadix,Control,6/16/19 14:45,12.27,"9,446",0.15
18,Phyllospadix,Control,6/16/19 15:00,12.82,"13,921",0.15
18,Phyllospadix,Control,6/16/19 15:15,13.04,"12,539",0.15
18,Phyllospadix,Control,6/16/19 15:30,13.73,"9,462",0.15
18,Phyllospadix,Control,6/16/19 15:45,14.45,"10,360",0.15
18,Phyllospadix,Control,6/16/19 16:00,15.1,"10,977",0.15
18,Phyllospadix,Control,6/16/19 16:15,15.44,"6,810",0.15
18,Phyllospadix,Control,6/16/19 16:30,15.91,"9,446",0.15
18,Phyllospadix,Control,6/16/19 16:45,16.08,"7,660",0.15
18,Phyllospadix,Control,6/16/19 17:00,16.26,"7,864",0.15
18,Phyllospadix,Control,6/16/19 17:15,16.3,"5,847",0.15
18,Phyllospadix,Control,6/16/19 17:30,16.56,"7,068",0.15
18,Phyllospadix,Control,6/16/19 17:45,16.6,"5,888",0.15
18,Phyllospadix,Control,6/16/19 18:00,16.73,"3,209",0.15
18,Phyllospadix,Control,6/16/19 18:15,16.73,"4,508",0.15
18,Phyllospadix,Control,6/16/19 18:30,16.64,"4,273",0.15
