PoolID,type,gps,lightlogger,LoggerDepth,first download?
1,P,114,20555836,0.15,yes
2,P,116,20555860,0.295,yes
3,P,115,20555850,0.265,yes
4,P,117,20555858,0.095,
5,P,118,20555847,0.095,yes
6,P,119,20555845,0.065,yes'
7,P,120,20555867,0.137,yes
8,P,133,20555856,0.125,yes
9,M,149,20555859,0.125,yes
10,M,130,20555857,0.215,yes
11,M,141,20555869,0.225,yes
12,M,139,20555842,0.18,yes
13,M,129,20555844,0.165,yes
14,M,128,20555864,0.17,yes
15,M,138,20555852,0.145,yes
16,M,140,20555849,0.295,yes
17,M,122,20555837,0.123,yes
18,P,131,20555854,0.15,yes
19,M,121,20555855,0.205,yes
20,P,134,20555839,0.155,yes
21,P,135,20555853,0.115,yes
22,P,136,20555868,0.075,yes
23,M,137,20555848,0.16,yes
24,M,127,20555840,0.13,yes
25,M,148,20555851,0.21,yes
26,P,126,20555846,0.066,
27,P,125,20555865,0.075,
28,P,124,20555866,0.13,yes
29,P,123,20555863,0.125,yes
30,M,144,20555862,0.105,yes
31,M,145,20555841,0.1,yes
32,M,146,20555843,0.175,yes
