PoolID,Foundation_spp,Removal_Control,Before_After,Vol_used,Replicate,Absorbance_Raw,Volume,Notes
1,Phyllospadix,Control,Before,9,1,0.043,,
1,Phyllospadix,Control,Before,9,2,0.051,,
1,Phyllospadix,Control,Before,9,3,0.045,,
2,Phyllospadix,Removal,Before,9,1,0.061,,
2,Phyllospadix,Removal,Before,9,2,0.067,,
2,Phyllospadix,Removal,Before,9,3,0.068,,
3,Phyllospadix,Removal,Before,15,1,0.036,,
3,Phyllospadix,Removal,Before,15,2,0.022,,
3,Phyllospadix,Removal,Before,15,3,0.045,,
4,Phyllospadix,Control,Before,3,1,0.057,,
4,Phyllospadix,Control,Before,3,2,0.055,,
4,Phyllospadix,Control,Before,3,3,0.059,,
5,Phyllospadix,Control,Before,3,1,0.064,,
5,Phyllospadix,Control,Before,3,2,0.067,,
5,Phyllospadix,Control,Before,3,3,0.058,,
6,Phyllospadix,Removal,Before,3,1,0.188,,
6,Phyllospadix,Removal,Before,3,2,0.176,,
6,Phyllospadix,Removal,Before,3,3,0.206,,
7,Phyllospadix,Removal,Before,9,1,0.05,,
7,Phyllospadix,Removal,Before,9,2,0.05,,
7,Phyllospadix,Removal,Before,9,3,0.057,,
8,Phyllospadix,Control,Before,3,1,0.094,,rep 4 not 1
8,Phyllospadix,Control,Before,3,2,0.094,,
8,Phyllospadix,Control,Before,3,3,0.071,,
9,Mytilus,Control,Before,15,1,0.026,,
9,Mytilus,Control,Before,15,2,0.027,,
9,Mytilus,Control,Before,15,3,0.036,,
10,Mytilus,Removal,Before,6,1,0.052,,
10,Mytilus,Removal,Before,6,2,0.048,,
10,Mytilus,Removal,Before,6,3,0.052,,
11,Mytilus,Removal,Before,6,1,0.091,,
11,Mytilus,Removal,Before,6,2,0.1,,
11,Mytilus,Removal,Before,6,3,0.092,,
12,Mytilus,Control,Before,9,1,0.058,,
12,Mytilus,Control,Before,9,2,0.058,,
12,Mytilus,Control,Before,9,3,0.058,,
13,Mytilus,Control,Before,9,1,0.047,,
