PoolID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,44.753895,-124.065187,-0.13645,2019-06-05T14:43:15Z,,,114,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T14:43:15Z
2,44.75365897,-124.065228,-1.593998,2019-06-05T14:58:23Z,,,115,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T14:58:23Z
3,44.753722,-124.06523,1.773453,2019-06-05T15:07:48Z,,,116,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:07:48Z
4,44.75363801,-124.065284,1.538801,2019-06-05T15:13:02Z,,,117,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:13:02Z
5,44.75352201,-124.065269,0.759937,2019-06-05T15:15:29Z,,,118,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:15:29Z
6,44.75359702,-124.065312,4.153582,2019-06-05T15:23:41Z,,,119,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:23:41Z
7,44.752988,-124.065816,1.204185,2019-06-05T15:35:19Z,,,120,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:35:19Z
8,44.75329997,-124.066076,1.946999,2019-06-05T15:39:59Z,,,121,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:39:59Z
9,44.75321598,-124.066041,1.110744,2019-06-05T15:42:11Z,,,122,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:42:11Z
10,44.75228601,-124.066267,1.64752,2019-06-05T15:54:32Z,,,123,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:54:32Z
11,44.75227998,-124.066269,1.147745,2019-06-05T15:54:58Z,,,124,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T15:54:58Z
12,44.75213103,-124.066266,2.044542,2019-06-05T16:05:42Z,,,125,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T16:05:42Z
13,44.75210404,-124.066246,1.589405,2019-06-05T16:05:57Z,,,126,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T16:05:57Z
14,44.75265901,-124.066348,2.971745,2019-06-05T16:34:46Z,,,127,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T16:34:46Z
15,44.75256303,-124.066418,2.343992,2019-06-05T16:39:56Z,,,128,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T16:39:56Z
16,44.75253898,-124.066401,3.114311,2019-06-05T16:43:58Z,,,129,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T16:43:58Z
17,44.75239196,-124.066426,0.961176,2019-06-05T16:52:19Z,,,130,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T16:52:19Z
18,44.75257804,-124.065559,1.063974,2019-06-05T17:14:31Z,,,131,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T17:14:31Z
19,44.75288096,-124.066005,-0.712191,2019-06-05T17:32:56Z,,,133,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T17:32:56Z
20,44.752902,-124.066021,-0.06776,2019-06-05T17:33:21Z,,,134,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T17:33:21Z
21,44.75296302,-124.066063,0.062527,2019-06-05T17:34:35Z,,,135,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T17:34:35Z
22,44.75295204,-124.065866,0.944521,2019-06-05T17:35:12Z,,,136,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-05T17:35:12Z
23,44.75267703,-124.066338,2.207024,2019-06-09T16:06:14Z,,,137,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-09T16:06:14Z
24,44.75269002,-124.066436,2.331997,2019-06-09T17:16:48Z,,,138,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-09T17:16:48Z
25,44.75229397,-124.066685,57.934578,2019-06-09T20:59:53Z,,,139,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-09T20:59:53Z
26,44.75240001,-124.066379,-5.631834,2019-06-09T22:01:52Z,,,140,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-09T22:01:52Z
27,44.75243404,-124.066412,-2.23815,2019-06-09T22:06:29Z,,,141,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-09T22:06:29Z
28,44.75242498,-124.066485,,2019-06-10T21:43:54Z,,,144,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-10T21:43:54Z
29,44.75229196,-124.066429,1.896511,2019-06-10T22:22:42Z,,,145,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-10T22:22:42Z
30,44.75226204,-124.066422,3.668344,2019-06-10T22:23:01Z,,,146,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-10T22:23:01Z
31,44.75273704,-124.066324,0.249449,2019-06-24T17:37:28Z,,,148,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-24T17:37:28Z
32,44.75239498,-124.066429,0.130192,2019-06-24T17:50:18Z,,,149,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-06-24T17:50:18Z
