"","Response","Predictor"
"5","MicroMacroAlgaeCover","MytilusLoss"
"6","MicroMacroAlgaeCover","SAtoVRatio"
"7","MicroMacroAlgaeCover","TideHeight"
"12","Light","MytilusLoss"
"13","Light","SAtoVRatio"
"14","Light","TideHeight"
"19","MaxTemp","MytilusLoss"
"20","MaxTemp","SAtoVRatio"
"21","MaxTemp","TideHeight"
"26","NtoPRatio","MytilusLoss"
"27","NtoPRatio","SAtoVRatio"
"28","NtoPRatio","TideHeight"
"35","NEP","Light"
"37","NEP","SAtoVRatio"
"38","NEP","NtoPRatio"
"39","NEP","TideHeight"
"45","pH","MytilusLoss"
"46","pH","NEP"
"47","pH","SAtoVRatio"
"48","pH","TideHeight"
"55","NEC","pH"
"56","NEC","MytilusLoss"
"57","NEC","SAtoVRatio"
"58","NEC","MaxTemp"
"59","NEC","TideHeight"
