"","Response","Predictor"
"5","MicroMacroAlgaeCover","MytilusLoss"
"6","MicroMacroAlgaeCover","SAtoVRatio"
"7","MicroMacroAlgaeCover","TideHeight"
"12","MaxTemp","MytilusLoss"
"13","MaxTemp","SAtoVRatio"
"14","MaxTemp","TideHeight"
"19","NtoPRatio","MytilusLoss"
"20","NtoPRatio","SAtoVRatio"
"21","NtoPRatio","TideHeight"
"30","NEP","SAtoVRatio"
"31","NEP","NtoPRatio"
"32","NEP","TideHeight"
"38","pH","MytilusLoss"
"39","pH","NEP"
"40","pH","SAtoVRatio"
"41","pH","TideHeight"
"48","NEC","pH"
"49","NEC","MytilusLoss"
"50","NEC","SAtoVRatio"
"51","NEC","MaxTemp"
"52","NEC","TideHeight"
