"","PoolID","Id_code","Time_Point","Foundation_spp","Before_After","Removal_Control","Day_Night","Group","TADeltaTime","DICDeltaTime","DeltaTime","DeltaNN","DeltaNH4","DeltaPO","DeltapH","DeltapCO2","DeltaDO","SurfaceArea","Vol","SAtoV","TideHeight","SamplingVolume","AdjSamplingVolume","DeltaTA_N_Norm","NEC.mmol.m2.hr","Tempmean","pCO2mean","Salinitymean","Windmean","pHmean","DOmean","NNmean","NH4mean","POmean","K","dpCO2","a","F_CO2","NEP.mmol.m2.hr"
"1","1","D_1_5_BC",5,"Phyllospadix","Before","Control","Day","Before_Control",-49.0621380044036,204.546637184929,4.66666666666667,0.8632992,-1.4080998,0.4100195,0.270657565896003,-265.243339261184,2.79,3.61,0.291468955411903,12.3855386070134,0.927449,0.289718955411903,0.289718955411903,52.1535760044036,0.458767514569466,14.35,364.902215209405,34.9,0.6,8.08850123578015,10.495,1.6735888,5.6712051,0.58920125,0.0961176577876948,-45.9577847905947,0.0382295647553112,-0.00168873544919981,3.14149909584458
"2","10","D_10_5_BC",5,"Mytilus","Before","Removal","Day","Before_Removal",-41.1877712953976,-10.8133337362988,4.55,15.2061824,12.7615974,2.873365,-0.273131700032827,723.92756060958,0.0699999999999994,2.042,0.227626568915722,8.97083328069688,1.107963001,0.225876568915722,0.225876568915722,49.3790862953976,0.614034446735882,15.4,1120.53866020704,34.9,1.05,7.63051872510284,7.895,11.9347328,17.0136153,3.2381855,0.302766235326516,709.678660207042,0.037030489412622,0.0795662040155074,-0.96253067340989
"3","11","D_11_5_BC",5,"Mytilus","Before","Removal","Day","Before_Removal",12.9160542690547,-16.7334294663326,4.56666666666667,7.3531888,6.763314,1.775675,-0.111251647137052,543.649754557367,-1.44,1.062,0.11705341948545,9.07278065577582,1.673113001,0.11530341948545,0.11530341948545,-8.77482946905471,-0.106709400756415,16.3,1826.73207589264,35.35,1,7.40115345117354,5.57,8.5913416,20.123631,2.0694685,0.281195549167356,1415.87207589264,0.0359595812953138,0.143168371546949,-0.443444482531642
"4","12","D_12_5_BC",5,"Mytilus","Before","Control","Day","Before_Control",-268.470432819839,372.772638710409,4.41666666666667,5.8234832,11.3978472,1.16226,0.143395015742886,-232.271516955983,3.86,2.552,0.231796656625131,11.0096497385084,1.333388001,0.230046656625131,0.230046656625131,265.220588819839,2.76881223383158,18.9,452.871256014718,34.6,1.05,7.93965746992054,11.41,5.5697944,15.1453884,1.814417,0.331177782339268,42.0112560147182,0.0334929396656456,0.00465993787302279,5.00976552557823
"5","13","D_13_5_BC",5,"Mytilus","Before","Control","Day","Before_Control",-171.379982396006,95.0256657325797,4.3,9.4584272,36.7103814,1.801503,-0.390314089934384,1337.13963811471,-2.25,4.16,0.277221869450486,15.0060311195723,1.177813001,0.275471869450486,0.275471869450486,147.731034196006,1.16367806019794,16.95,1604.78645311304,35.65,1.1,7.4688883632025,6.995,6.8571704,28.4336373,2.1340385,0.346020789060989,1193.92645311304,0.0352202803963288,0.14550321048966,0.187853972726352
"6","14","D_14_5_BC",5,"Mytilus","Before","Control","Day","Before_Control",51.1377777337875,-55.8569772177789,4.2,6.1491136,15.52236,1.795046,-0.126391118628926,623.396593311568,1.46,0.583,0.0435573929913782,13.3846394368781,0.904763001,0.0418073929913782,0.0418073929913782,-56.9209321337875,-0.497110439041358,17.45,1662.62671004958,33.95,0.6,7.47287387438195,7.07,7.5273632,25.057524,2.285778,0.104274012151307,1251.76671004958,0.0350380044323046,0.0457339639424627,-0.524260621039628
"7","15","D_15_5_BC",5,"Mytilus","Before","Removal","Day","Before_Removal",-184.439236241707,61.8750420173888,4.16666666666667,-0.9011632,-3.714279,-1.181631,-0.448596643124708,888.728988467196,0.34,1.07,0.0721062491110847,14.8392131499115,0.879363001,0.0703562491110847,0.0703562491110847,184.889090041707,1.49240627025025,15.75,932.350432496086,35,0.6,7.6949656715949,9.03,2.3665,11.2259925,1.5529085,0.0997817625389263,521.490432496086,0.0366235916440525,0.0190571717949081,-0.512565122431834
"8","16","D_16_5_BC",5,"Mytilus","Before","Removal","Day","Before_Removal",110.083263975165,-122.398456573193,4.4,16.508704,11.6085078,0.916894,-0.144738913486532,645.666970600099,-1.1,6.88,0.669,10.2840059790732,1.771538001,0.66725,0.66725,-103.349279775165,-1.16520022610611,17.75,1438.25798358048,34.85,1.2,7.51195664769977,6.65,15.032008,16.2596721,1.788589,0.420284641143104,1027.39798358048,0.0345636154494299,0.149245550781515,-1.7439815251867
"9","17","D_17_5_BC",5,"Mytilus","Before","Removal","Day","Before_Removal",-480.757060930001,331.648059811029,4.33333333333333,1.1889296,17.1189456,1.8544504,-0.524183716585148,881.857916404651,0.0700000000000003,1.107,0.0815079175204978,13.5815026769836,1.086199,0.0797579175204978,0.0796079175204978,468.535945730001,3.97717863813767,15.55,887.093074867075,34.2,2.35,7.70610007211594,9.395,3.426692,13.2827052,1.4683218,1.52261747814779,476.233074867075,0.0370081851738849,0.268354049680568,1.38487236810603
"10","18","D_18_5_BC",5,"Phyllospadix","Before","Control","Day","Before_Control",-143.015737137469,135.555546955754,4.45,0.0681552000000001,11.2647984,0.561759,-0.0528220298821003,38.3005858356325,-0.149999999999999,5.038,0.361621621621622,13.9316890881913,1.615963001,0.359871621621622,0.359831621621622,132.942611937469,1.09141771114146,14.9,542.303056815596,34.6,2.1,7.89615929471,8.715,1.2987352,9.5573388,1.1525745,1.19502200092795,131.443056815596,0.0376571331437429,0.0591508248563829,1.07516966238458
