"","Id_code","PoolID","Foundation_spp","Day_Night","Before_After","Removal_Control","Group","Time_Point","Sampling_Day","Sampling_time","Wind_Speed.m.s","DO_mg_L","DO_p","Conductivity","Salinity","Temp.pool","Temp.in","date_triscal","mVolts","pH.pre","Notes","SalCal","Date_Time","PO_ug_L","NO2N_ug_L","NN_ug_L","NH4_ug_L","PO_umol_L","NN_umol_L","NH4_umol_L","Date_Run","TA_Run","TA_Raw","CRM_off","Salinity_Lab","TA_CRM","(Intercept)","TTris","mVTris","pH","pH_insitu","CO2","fCO2","pCO2","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite","TA_NormSal","DIC_Norm"
"1","D1_Ocean_1_BC","Ocean","Ocean","Day","Before","Ocean","Before_Ocean",1,2019-07-08,08:48:00,1.4,8.28,94.5,52.4,34.3,11.9,14.537,20190710,-53.2,7.842657207,NA,0.0349279719808038,2019-07-08 08:48:00,24,"-1.04",37,43.8,0.77484,1.400968,2.4281406,"8/30/19",1,2204.690384,0.232710928,32.81,2199.55438400576,-106.239247095171,1.45218230867397,-85.1288728739779,7.86832765046469,7.90791095439413,22.6745305856089,547.465393105249,549.531062116376,1943.17731052358,101.931300307138,2067.78314141633,2199.55438400576,1.55491126336572,2.43917038204855,2122.56998056556,1995.41073146676
"2","D_1_1_BC","1","Phyllospadix","Day","Before","Control","Before_Control",1,2019-07-08,08:59:00,0.9,9.1,105.4,52.7,34.6,12.6,14.966,20190710,-56.1,7.890223326,NA,0.034801177270602,2019-07-08 08:59:00,11.9,"15.2",32.8,115,0.3841915,1.2419392,6.375255,"8/31/19",1,2238.544545,0.048572063,33.09,2237.47254499797,-106.239247095171,1.45218230867397,-84.5058866635568,7.91737737180912,7.95317245283214,20.0433742205021,495.670519673077,497.523884839997,1944.39435181789,117.1368363607,2081.57456239909,2237.47254499797,1.78698341989446,2.79805160397222,2177.58725041126,2025.86183146429
"3","D_2_1_BC","2","Phyllospadix","Day","Before","Removal","Before_Removal",1,2019-07-08,09:04:00,0.9,9.99,118.2,52.7,34.7,12.8,14.29,20190710,-66.7,8.081177287,"only 1 push through sterivex",0.0347155924148393,2019-07-08 09:04:00,30.2,"2.02",8.84,81.4,0.975007,0.33471776,4.5125718,"9/1/19",1,2231.155882,0.396650635,32.99,2222.40168349036,-106.239247095171,1.45218230867397,-85.4875619042204,8.10742754389013,8.13054977434359,12.3132661861348,306.606041021391,307.749295629491,1807.35973092302,165.465324861095,1985.13832197025,2222.40168349036,2.52413437241119,3.9500932775492,2156.38328053962,1926.16803652348
"4","D_3_1_BC","3","Phyllospadix","Day","Before","Removal","Before_Removal",1,2019-07-08,09:07:00,0.7,10.28,121.6,52.8,34.8,12.7,14.774,20190710,-62.3,8.00019459,"2.5 pushes",0.0348172242037235,2019-07-08 09:07:00,25.8,"2.68",15.24,67.2,0.832953,0.57704736,3.7253664,"9/2/19",1,2248.177487,0.36850704,32.88,2240.04442607509,-106.239247095171,1.45218230867397,-84.7847056668222,8.02752197367718,8.05941636255338,15.0753947468691,374.41582385574,375.813821475848,1875.42962569801,145.527517572162,2036.03253801704,2240.04442607509,2.21844068041471,3.47182930653309,2166.25472733379,1968.96323088237
"5","D_4_1_BC","4","Phyllospadix","Day","Before","Control","Before_Control",1,2019-07-08,09:10:00,0.7,10.21,119,51.7,34.9,13.2,14.886,20190710,-67.8,8.095540768,"pumped 2 x 550;nutrients at 35 ml",0.0339666697977645,2019-07-08 09:10:00,15.22,"8.68",14.04,72,0.4913777,0.53161056,3.991464,"9/2/19",1,2197.911016,0.36850704,32.86,2189.77795507509,-106.239247095171,1.45218230867397,-84.6220612482507,8.12330987542659,8.14946606527085,11.3404678997439,286.271844549592,287.333791987988,1758.52926852939,171.578921160235,1941.44865758937,2189.77795507509,2.61711965604406,4.09107190139136,2116.3559883461,1876.35302612902
"6","D_5_1_BC","5","Phyllospadix","Day","Before","Control","Before_Control",1,2019-07-08,09:13:00,0.7,11.72,137.2,52.4,34.5,13.4,15.491,20190710,-78,8.268647462,NA,0.0342916435817423,2019-07-08 09:13:00,16.06,"0.522",19.02,35.8,0.5184971,0.72017328,1.9846446,"9/4/19",1,2144.885136,0.537981023,32.95,2133.01173342808,-106.239247095171,1.45218230867397,-83.7434909515029,8.29645113981817,8.32934253757375,6.61651419043099,167.689406177701,168.309790201168,1554.89330386898,229.216074777478,1790.72589283689,2133.01173342808,3.50467795628158,5.47983743956685,2067.13931224869,1735.4240637934
"7","D_6_1_BC","6","Phyllospadix","Day","Before","Removal","Before_Removal",1,2019-07-08,09:17:00,1,9.66,113.8,52.5,34.6,13.8,15.495,20190710,-68.3,8.099249825,"sun, 2.5 pushes",0.0341886130689066,2019-07-08 09:17:00,86.5,"10.4",37.6,10.3,2.7926525,1.4236864,0.5710011,"9/4/19",1,2118.15938,0.537981023,33.03,2106.28597742808,-106.239247095171,1.45218230867397,-83.7376822222682,8.12730625790186,8.15354486799095,10.5957397896127,272.048293259175,273.049741450144,1678.58025718991,168.039423018033,1857.21541999756,2106.28597742808,2.57045241312502,4.01516546798287,2046.19487748381,1804.23015654469
"8","D_7_1_BC","7","Phyllospadix","Day","Before","Removal","Before_Removal",1,2019-07-08,09:37:00,0.3,10.34,120.3,52.6,34.6,13.1,15.931,20190710,-64.6,8.031142905,"170 thru sterivex",0.0345308592425336,2019-07-08 09:37:00,29.2,"4.74",12.26,122.4,0.942722,0.46421264,6.7854888,"9/5/19",1,2232.383883,0.544759247,33.01,2220.36088299094,-106.239247095171,1.45218230867397,-83.1045307356864,8.05993940938183,8.10357109962539,13.1332794015077,329.932656935813,331.158196226034,1823.38865101864,158.347897136836,1994.86982755698,2220.36088299094,2.41831040671628,3.78286042536669,2155.70919845679,1936.78391198988
"9","D_8_1_BC","8","Phyllospadix","Day","Before","Control","Before_Control",1,2019-07-08,09:42:00,0.3,9.47,111.3,52.5,34.5,13.5,16.183,20190710,-65.3,8.041312013,NA,0.0343088450948381,2019-07-08 09:42:00,38.2,"-1.71",13.5,134,1.233287,0.511164,7.428558,"9/5/19",1,2206.941693,0.544759247,33.05,2194.91869299094,-106.239247095171,1.45218230867397,-82.7385807939005,8.0702914532003,8.11163475197533,12.5540992827647,319.163982527086,320.343448439184,1791.41579219201,160.588118824051,1964.55801029882,2194.91869299094,2.45593471810284,3.83926968580304,2133.59008245148,1909.66594824636
"10","D_9_1_BC","9","Mytilus","Day","Before","Control","Before_Control",1,2019-07-08,09:47:00,0.3,7.63,87.6,52.4,34.5,12.8,15.978,20190710,-45.8,7.703065264,NA,0.034539239935637,2019-07-08 09:47:00,39.2,"20.4",74.6,190.6,1.265572,2.8246544,10.5662922,"9/7/19",1,2112.656076,0.267242737,33.01,2106.75794862159,-106.239247095171,1.45218230867397,-83.0362781671787,7.73169500413546,7.77773975244249,29.3703152389621,730.506019818419,733.231156545517,1910.0876107645,77.2496478560095,2016.70757385947,2106.75794862159,1.17954855738352,1.84651820541971,2045.41411423525,1957.98579450298
"11","D_10_1_BC","10","Mytilus","Day","Before","Removal","Before_Removal",1,2019-07-08,09:50:00,0.3,7.86,90.2,51.9,34.1,12.8,15.699,20190710,-45.4,7.69801166,NA,0.0342454554974565,2019-07-08 09:50:00,55.8,"7.18",114.4,191.8,1.801503,4.3316416,10.6328166,"9/7/19",1,2123.797617,0.267242737,33.08,2117.89948962159,-106.239247095171,1.45218230867397,-83.4414370312987,7.72518849598529,7.76708457511925,30.454439138844,755.75547247641,758.574879902252,1926.10161847537,75.3046869663476,2031.86074458056,2117.89948962159,1.15197453385177,1.80460949511131,2060.59162107889,1976.88098325661
"12","D_11_1_BC","11","Mytilus","Day","Before","Removal","Before_Removal",1,2019-07-08,09:52:00,0.3,6.29,72.1,52.6,34.6,13.1,15.764,20190710,-28,7.394043014,NA,0.0345308592425336,2019-07-08 09:52:00,36.6,"5.1",129.8,302,1.181631,4.9147472,16.741974,"9/8/19",1,2042.966411,0.658535281,33.24,2028.43233978775,-106.239247095171,1.45218230867397,-83.3470451812349,7.42255308606394,7.45677927474206,61.6651787044579,1549.14516233073,1554.90719861395,1930.87532753948,37.8177303835743,2030.35823662752,2028.43233978775,0.577557470598789,0.903448661030127,1983.09091101602,1984.97375839702
