"","Functional_Group","Phyllodelta.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","Anemone",0.0104407862075991,0.00630724481199434,120,-0.00204711956796687,0.0229286919831651,1.65536403276183,0.100463683431078
"2","ArticulatedCorallines",0.0167983109049217,0.00630724481199431,120,0.00431040512935576,0.0292862166804875,2.66333579964691,0.00879936056186036
"3","CorticatedFoliose",0.00226675100427011,0.0063072448119943,120,-0.0102211547712958,0.014754656779836,0.359388460704665,0.719936140025715
"4","CorticatedMacro",-0.00386102177823019,0.00630724481199431,120,-0.0163489275537961,0.00862688399733571,-0.612156637853631,0.541592315182603
"5","Crustose",0.0135837865480193,0.00630724481199431,120,0.00109588077245342,0.0260716923235852,2.15367992727782,0.0332652175340687
"6","Filamentous",0.000124205152198598,0.00630724481199431,120,-0.0123637006233673,0.0126121109277645,0.0196924577848002,0.984321413282966
"7","FoiloseAlgae",-0.00654503273561575,0.00630724481199431,120,-0.0190329385111816,0.00594287303995014,-1.03770076011149,0.301495865548279
"8","LeatheryMacro",5.94030610865121e-05,0.00630724481199431,120,-0.0124285027144794,0.0125473088366524,0.00941822663574863,0.992501093223146
"9","Microalgae",0.0119289656981333,0.00630724481199431,120,-0.000558940077432542,0.0244168714736992,1.89131166677539,0.0609934815970601
"10","SuspensionFeeder",0.00116417395756584,0.00630724481199431,120,-0.0113237318180001,0.0136520797331317,0.184577258734585,0.853872197598464
