"","Functional_Group","SAVav.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","Anemone",-0.0283014109700897,0.0364817261337054,120,-0.100532689772103,0.0439298678319237,-0.775769514478703,0.439411301619682
"2","ArticulatedCorallines",-0.0280984555872687,0.0364817261337053,120,-0.100329734389282,0.0441328232147444,-0.770206307790593,0.442691166551348
"3","CorticatedFoliose",-0.0296436059090008,0.0364817261337053,120,-0.101874884711014,0.0425876728930123,-0.812560398056746,0.418079243174459
"4","CorticatedMacro",0.0363891133503562,0.0364817261337053,120,-0.0358421654516569,0.108620392152369,0.997461392506219,0.32054771300972
"5","Crustose",-0.0451232367672011,0.0364817261337053,120,-0.117354515569214,0.027108042034812,-1.23687230702365,0.218549634063979
"6","Filamentous",-0.018237675514233,0.0364817261337053,120,-0.0904689543162461,0.0539936032877802,-0.499912626047133,0.618052064449961
"7","FoiloseAlgae",-0.031312354016704,0.0364817261337053,120,-0.103543632818717,0.0409189247853091,-0.85830242521816,0.392436617424824
"8","LeatheryMacro",-0.00225589486394373,0.0364817261337053,120,-0.0744871736659568,0.0699753839380694,-0.0618362973198113,0.950796072966436
"9","Microalgae",-0.0173767633567864,0.0364817261337053,120,-0.0896080421587995,0.0548545154452267,-0.476314176941646,0.634716680755095
"10","SuspensionFeeder",-0.0107343220561748,0.0364817261337053,120,-0.0829656008581879,0.0614969567458383,-0.294238326794998,0.769084154481654
