"","PoolID","Before_After","Phyllodelta","Foundation_spp","Removal_Control","Nuttalina.spp","Cyanoplax.hartwegii","Katharina.tunicata","Tonicella.spp","Leptochiton.spp","Mopalia.spp","Nucella.ostrina","Nucella.canaliculata","Ocinebria.lurida","Ceratostoma.foliatum","Nucella.lamellosa","Bittium.eschrichtii","Amphissa.spp","Callistoma.canaliculata","Lirabuccinum.dirum","Littorina.spp","Tegula.funebralis","Alia.carinata","Lottia.spp","Fissurella.volcano","Diodora.aspera","Tectura.persona","Acmaea.mitra","Pachygrapsus.crassipes","Hemigrapsus.nudus","Pagarus.spp","Pugettia.producta","Petrolisthes.spp","Cancer.spp","Heptacarpus.sitchensis","Idotea.spp","Anisodris.nobilis","Aeolidia.papillosa","Acanthodoris.nanaimoensis","Hermissenda.opalescens","Diaulula.sandiegensis","Eupentacta.quinquesemita","Strongylocentrotus.purpuratus","Henricia.spp","Pisaster.ochraceus","Leptasterias.hexactis","Brittle.star","Sculpin","Gunnel","phyllopp$Vav","phyllopp$THav"
"1","1","Before",0,"Phyllospadix","Control",0,0,0,6,0,0,0,0,0,0,0,1,0,1,1,0,11,0,2,0,0,0,0,0,0,9,4,0,2,0,1,0,0,0,0,0,0,89,0,0,0,0,3,0,0.291468955411903,0.927449
"2","2","Before",0,"Phyllospadix","Removal",0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,18,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,1,0,0,0,4,0,0.230525964404787,0.940149
"3","3","Before",0,"Phyllospadix","Removal",0,0,0,10,0,0,0,16,0,0,0,1,0,0,2,0,6,1,9,0,0,0,4,0,0,11,4,0,2,0,0,0,0,0,0,0,0,131,2,0,0,0,2,0,0.713710769925491,0.930624
"4","4","Before",0,"Phyllospadix","Control",0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,14,0,5,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1,1,0.0994791085866816,0.940149
"5","5","Before",0,"Phyllospadix","Control",0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,9,0,6,0,0,0,3,0,0,14,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893765512502866,0.781399
"6","6","Before",0,"Phyllospadix","Removal",0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,2,0,2,0,0,0,1,0,0,125,1,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,5,0,0.0298760346482921,0.905224
"7","7","Before",0,"Phyllospadix","Removal",0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,55,1,2,1,0,0,0,0,0,50,8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0.236988711954102,0.705199
"8","8","Before",0,"Phyllospadix","Control",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,34,0,7,0,0,0,0,0,0,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.063797986966607,0.778224
"9","18","Before",0,"Phyllospadix","Control",0,8,0,1,0,7,8,3,0,0,0,0,0,0,0,392,148,3,246,0,0,0,0,0,0,155,0,4,0,0,3,0,0,0,0,0,0,177,0,0,0,0,11,0,0.361621621621622,1.615963001
"10","20","Before",0,"Phyllospadix","Control",0,1,0,11,0,1,4,2,1,0,0,0,0,0,4,43,89,0,135,0,0,0,11,0,0,94,7,0,4,0,2,0,0,0,0,0,0,3,0,1,0,2,7,1,0.355851063829787,1.006824
"11","21","Before",0,"Phyllospadix","Removal",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,12,0,41,0,0,0,0,0,0,29,3,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0729805453927733,1.108424
"12","22","Before",0,"Phyllospadix","Removal",0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,61,40,0,43,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12469869539879,1.140174
"13","26","Before",0,"Phyllospadix","Removal",0,1,0,2,0,0,0,5,0,0,0,0,0,0,1,5,0,0,25,0,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0.0782942639668266,0.819038001
"14","27","Before",0,"Phyllospadix","Control",0,2,0,4,0,0,0,0,0,0,0,1,0,8,0,11,0,0,13,0,0,0,0,0,0,7,4,0,1,1,0,0,0,0,0,0,0,60,0,0,0,1,6,0,0.16357138148712,0.841263001
"15","28","Before",0,"Phyllospadix","Removal",0,1,0,3,0,0,0,0,1,0,0,0,0,4,0,12,2,0,9,0,1,0,0,0,0,18,3,0,1,1,2,0,0,0,0,0,0,21,0,0,1,0,7,0,0.197318495024349,0.765063001
"16","29","Before",0,"Phyllospadix","Control",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,22,1,0,5,0,0,0,0,0,0,30,8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0.0456671840460228,0.838342001
"17","1","After",-13.5178806679001,"Phyllospadix","Control",0,0,0,14,1,0,0,0,0,0,0,0,1,4,6,0,11,1,122,0,0,0,1,0,0,21,10,1,2,5,1,0,0,0,0,0,0,97,0,1,0,0,8,4,0.291468955411903,0.927449
"18","2","After",51.6372795969773,"Phyllospadix","Removal",0,0,0,12,0,0,0,0,0,0,0,1,1,6,2,0,3,2,34,0,0,0,2,0,1,74,3,0,2,92,2,0,0,0,0,0,1,57,1,0,0,0,25,0,0.230525964404787,0.940149
"19","3","After",76.1770244821092,"Phyllospadix","Removal",0,1,0,18,1,0,1,0,0,0,0,2,1,7,5,0,10,0,98,0,0,0,2,0,1,70,9,0,4,28,0,0,0,0,0,0,0,172,0,1,0,0,26,0,0.713710769925491,0.930624
"20","4","After",-19.1523364758838,"Phyllospadix","Control",0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,3,0,51,0,0,0,2,0,0,35,1,0,1,13,1,0,0,0,0,0,0,48,0,0,0,0,7,0,0.0994791085866816,0.940149
"21","5","After",-3.2184456355571,"Phyllospadix","Control",0,0,0,4,1,0,0,0,0,0,1,0,0,4,2,0,7,0,42,0,0,0,3,0,0,8,3,0,1,11,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0.0893765512502866,0.781399
"22","6","After",77.01317715959,"Phyllospadix","Removal",0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,5,0,0,0,2,0,0,36,1,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,12,0,0.0298760346482921,0.905224
"23","7","After",58.8628762541806,"Phyllospadix","Removal",0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,13,29,0,11,0,0,0,0,0,0,15,7,0,4,12,0,0,1,0,0,0,0,0,0,1,0,0,16,0,0.236988711954102,0.705199
"24","8","After",-27.5231837910295,"Phyllospadix","Control",0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1,45,23,20,0,0,0,0,0,2,63,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.063797986966607,0.778224
"25","18","After",11.1774510477565,"Phyllospadix","Control",0,0,0,0,4,12,11,1,0,0,2,0,5,2,0,3374,197,4,550,0,1,0,0,0,0,448,1,13,1,1,3,0,0,0,0,0,0,139,0,0,0,0,18,0,0.361621621621622,1.615963001
"26","20","After",-18.5967397899568,"Phyllospadix","Control",0,0,0,10,3,1,0,0,0,0,0,2,1,2,10,9,281,16,151,0,0,0,8,0,3,193,18,0,4,3,0,0,0,0,0,0,1,6,1,0,0,0,15,6,0.355851063829787,1.006824
"27","21","After",100,"Phyllospadix","Removal",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,10,21,0,26,0,0,0,1,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.0729805453927733,1.108424
"28","22","After",96.4037698412698,"Phyllospadix","Removal",0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,85,282,0,133,0,0,0,0,0,0,70,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0.12469869539879,1.140174
"29","26","After",58.8528678304239,"Phyllospadix","Removal",0,0,0,2,3,0,0,0,0,0,0,1,0,1,3,0,0,0,17,0,0,0,0,0,0,18,2,0,1,1,2,0,0,0,0,1,0,21,0,1,0,0,9,1,0.0782942639668266,0.819038001
