"","PoolID","Before_After","Phyllodelta","Foundation_spp","Removal_Control","AdjMusselCover","Diatoms","Crustose.coralline","Algae.film","Turf.algae","Noncoralline.crust","Bosiella.spp","Calliarthron.tuberculosum","Corallina.vancouveriensis","Corallina.spp","Acrosiphonia.coalita","Analipus.japonicus","Chaetomorpha.linum","Centroceras.Ceramium","Cladophora.columbiana","Cryptosiphonia.wooddii","Costaria.costata","Cumagloia.andersonii","Erythrophyllum.delessrioides","Endocladia.muricata","Fucus.gardneri","Halosaccion.glandiforme","Pyropia.spp","Polysiphonia.spp","Ptilota.spp","Cryptopluera.spp","Odonthalia.floccosa","Microcladia.borealis","Mazzaella.splendens","Mazzaella.flaccida","Mazzaella.oregona","Neorhodomela.larix","Odanthalia.washingtoniensis","Scytosiphon.lomentaria","Osmundea.spectabilis","Ulva.spp","Plocamium.pacificum","Smithura.naiadum","Mastocarpus","Farlowia.mollis","Savoiea.robusta","Palmaria.hecatensis","Melobesia.mediocris","Leathesia.marina","Callithamnion.pikeanum","Laminara.setchellii","Schizymenia.pacifica","Chthamalus","Semibalanus.cariosus","Balanus.nibulis","Balanus.glandula","Pollicipes.polymerus","tube.worm","Ophlitaspongia.pennata","Halichondria","Haliclona.permollis","Anthropluera.elegantissima","Anthropluera.xanthogrammica","Urticina.coriacea","Epiactis.prolifera","Anthopleura.artemisia","Stylantheca.spp","Vol","TH"
"1","1","Before",0,"Phyllospadix","Control",0,0.991001704522932,12.2884211360844,0,0.158560272723669,1.59353074087287,6.85773179529869,0.901811551115868,0.545050937487613,1.09010187497523,0,0,0,1.98200340904586,0.00594601022713759,0.0792801363618345,0.029730051135688,0,0,0,0,0,0,0,0,0,4.16220715899631,2.47750426130733,0,0.00991001704522932,0,0,0,0,0,0.00198200340904586,0.150632259087486,6.85773179529869,0,0.00198200340904586,0,0,0.43604074999009,0,0.901811551115868,0,0,0,0,0,0,0,0.00991001704522932,0.00792801363618345,0,0,0,0.753161295437428,0,0.0693701193166052,0,0,0.291468955411903,0.927449
"2","2","Before",0,"Phyllospadix","Removal",0,0,9.22269777716416,0,0,1.10451470385199,9.94063233466795,6.84799116388237,0,0.165677205577799,0,0,0,0,0,0,0,0,0,0,0,0.01104514703852,0,0,0,0,0.552257351925997,0.331354411155598,0.441805881540798,0,0,0.0276128675962999,0,0,0.0552257351925998,0.386580146348198,0.1104514703852,0.552257351925997,0,0,0,0,0,0,0,0,0,0.00276128675962999,0,0,0,0,0,0,0,0,0,1.76722352616319,0,0,0,0,0.230525964404787,0.940149
"3","3","Before",0,"Phyllospadix","Removal",0,0,9.29770282618105,0,0,0.0961831326846316,3.98839390198939,2.19618152963242,0.0480915663423158,0.0961831326846316,0,0,0,4.32824097080842,0,0.128244176912842,0.00160305221141053,0,0,0,0,0.0512976707651368,0,0,0,0.352671486510316,0,0.689312450906526,0.0480915663423158,0.0801526105705263,0,0,0,0,0,0.120228915855789,0.0320610442282105,0.849617672047579,0,0,0.0320610442282105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320610442282105,0,0,0.689312450906526,0.272518875939789,0,0.0320610442282105,0,0.713710769925491,0.930624
"4","4","Before",0,"Phyllospadix","Control",0.134601579325197,0,41.143216080402,0,0,1.58381191672649,5.69813352476669,2.37796123474515,0.0583273510409189,0,0,0,0,0.493539124192391,0,0,0,0,0,0,0,0,0,0,0,0.0897343862167983,0,0.0358937544867193,0,0,0,0.134601579325197,0,0,0,0,0.0224335965541996,0,0,0,0,0,1.43575017946877,0,0,0,0,0.00448671931083991,0,0,0,0,0.00448671931083991,0,0,0,0,0.673007896625987,0,0.0314070351758794,0,0,0.0994791085866816,0.940149
"5","5","Before",0,"Phyllospadix","Control",0,0,15.8848349466369,0,0.496401092082403,0.744601638123604,3.06775874906925,2.06006453214197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248200546041201,0,0,0,0,0,0.148920327624721,0,0,0,0,0,0,0,0.00992802184164805,0,5.55969223132291,0,0,0,0,0,0,0,0,0,0.0148920327624721,0,0,0,0,0,0.0347480764457682,0,0,0.0248200546041201,0.297840655249442,0.0992802184164805,0,0.0347480764457682,0,0.0893765512502866,0.781399
"6","6","Before",0,"Phyllospadix","Removal",0,0,28.7786347415679,0,0,1.89938989294348,0,0.690687233797629,0,0.0115114538966271,0,0,0,0,0,0.0575572694831357,0,0,0,0,0,0,0,0,0,0,0.172671808449407,0.748244503280764,0,0,0,0,0,0,0,0.0115114538966271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460458155865086,0.0115114538966271,0,0.0298760346482921,0.905224
"7","7","Before",0,"Phyllospadix","Removal",0,0,7.83085356303837,0,0,0.261028452101279,14.7611589663273,0.208822761681023,1.07021665361524,2.00991908117985,0,0,0,0,0.00261028452101279,0,0,0,0,0,0,0.0783085356303837,0,0,0,0.99190811798486,1.94466196815453,0,0.0783085356303837,0,0,0.104411380840512,0,0,0,0.182719916470895,0,13.8345079613678,0.00261028452101279,0,0,0,0,0,0,0,0,0.013051422605064,0,0,0,0,0.0522056904202558,0.0261028452101279,0,0,0,0.344557556773688,0,0.00261028452101279,0,0,0.236988711954102,0.705199
"8","8","Before",0,"Phyllospadix","Control",1.30821559392988,0,14.1810570381999,0,0,1.22100122100122,17.7219605791034,3.40136054421769,0.453514739229025,0.479679051107623,0,0,0,0,0.0261643118785976,0,0,0,0,0,0,0.139542996685854,0,0,0,0.0523286237571952,0,0.348857491714635,0.261643118785976,0.218035932321647,0,2.44200244200244,0,0,0,0,0,1.52625152625153,0,0,0,0,0,0.00872143729286586,0,0,0,0.0436071864643293,0,0,0,0,0,0,0,0,0.0872143729286586,1.83150183150183,0,0,0.0436071864643293,0,0.063797986966607,0.778224
"9","18","Before",0,"Phyllospadix","Control",2.47579115503644,0,10.9813317360487,0,0,17.3704702006589,1.19596685634421,0,1.36767495258061,0.00598981731057203,0,0,0,0,0.219626634720974,0,0,0,0,0,0.00598981731057203,0.0419287211740042,0,0,0,0,0.109813317360487,0,0,0,0,0.119796346211441,0,0,0,0.0199660577019068,0,0,0,0,0,0,0,0.00199660577019068,0,0,0,0.0199660577019068,0,0,0.00598981731057203,0,0,0,0,0.00998302885095338,3.31436557851652,1.43755615453729,0,0,0,0,0.361621621621622,1.615963001
"10","20","Before",0,"Phyllospadix","Control",0.594500025478573,0,17.5802150391521,0,0,1.29091434103919,7.73869176022965,4.49442019261801,0.0424642875341837,0.883257180711022,0,0,0,1.35885720109388,0.0271771440218776,0,0,0,0,0,0,0.0645457170519593,0.0101914290082041,0,0,0.135885720109388,0.0237800010191429,0.382178587807654,0.36519287279398,0.740577174596165,0,0.501078592903368,0,0,0,0.00849285750683675,0,0.628471455505919,0,0,0.0118900005095715,0,0,0.00169857150136735,0.0424642875341837,0,0,0.0135885720109388,0,0,0,0,0,0.0118900005095715,0,0,0.0169857150136735,0.569021452958062,0,0.0033971430027347,0,0,0.355851063829787,1.006824
