"","Functional_Group","THav.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","Anemone",-0.700157570613522,0.87742295468305,120,-2.43739395670775,1.0370788154807,-0.797970427918014,0.426463943995233
"2","ArticulatedCorallines",0.200474488778493,0.877422954683049,120,-1.53676189731573,1.93771087487272,0.22848101671891,0.819661212428709
"3","CorticatedFoliose",-0.401502025807797,0.877422954683049,120,-2.13873841190202,1.33573436028643,-0.457592343196482,0.648072776611197
"4","CorticatedMacro",-0.390758790495754,0.877422954683049,120,-2.12799517658998,1.34647759559847,-0.445348264950405,0.656870455791231
"5","Crustose",0.164616128000803,0.877422954683048,120,-1.57262025809342,1.90185251409503,0.187613199680042,0.851496742886569
"6","Filamentous",-2.66066513552592,0.877422954683048,120,-4.39790152162014,-0.923428749431695,-3.03236326486014,0.00297402385816815
"7","FoiloseAlgae",-1.53007439065959,0.877422954683048,120,-3.26731077675381,0.207161995434639,-1.74382762895951,0.0837500194670375
"8","LeatheryMacro",0.0487013871005911,0.877422954683048,120,-1.68853499899363,1.78593777319481,0.0555050296332668,0.955828431166821
"9","Microalgae",-1.64469664378239,0.877422954683048,120,-3.38193302987661,0.0925397423118377,-1.87446274912707,0.0632981381002978
"10","SuspensionFeeder",1.37098193060273,0.877422954683048,120,-0.366254455491492,3.10821831669696,1.56250976029909,0.120801368967625
