"","Functional_Group","THav.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","Anemone",1.46592899307182,1.13475061965253,120,-0.780798260964354,3.71265624710799,1.29185123822245,0.198891175636678
"2","ArticulatedCorallines",-0.0821541713592908,1.13475061965253,120,-2.32888142539546,2.16457308267688,-0.0723984370984057,0.9424053602632
"3","CorticatedFoliose",-0.511401174782797,1.13475061965253,120,-2.75812842881897,1.73532607925337,-0.45067274335518,0.653038671105064
"4","CorticatedMacro",0.770647988299038,1.13475061965253,120,-1.47607926573713,3.01737524233521,0.679134229981751,0.498360621199139
"5","Crustose",-2.09110008401532,1.13475061965253,120,-4.33782733805149,0.15562717002085,-1.84278382210148,0.0678286762241914
"6","Filamentous",0.614231565747177,1.13475061965253,120,-1.63249568828899,2.86095881978335,0.541292117500899,0.589309755341956
"7","FoiloseAlgae",-0.303945554370093,1.13475061965253,120,-2.55067280840626,1.94278169966608,-0.267852292042073,0.789272876089311
"8","LeatheryMacro",0.558809827458703,1.13475061965253,120,-1.68791742657747,2.80553708149487,0.492451660991217,0.623299877025802
"9","Microalgae",-1.00486051675222,1.13475061965253,120,-3.25158777078839,1.24186673728395,-0.885534230472518,0.377639616458532
"10","SuspensionFeeder",0.0781265904573698,1.13475061965253,120,-2.1686006635788,2.32485384449354,0.0688491278209591,0.945224306773323
