"","Day.Response","Day.Predictor","Day.Estimate","Day.Std.Error","Day.DF","Day.Crit.Value","Day.P.Value","Day.Std.Estimate","Day.","Day..1","Night.Response","Night.Predictor","Night.Estimate","Night.Std.Error","Night.DF","Night.Crit.Value","Night.P.Value","Night.Std.Estimate","Night.","Night..1"
"1","MicroMacroAlgaeCover","MytilusLoss",0.7164,0.1076,26,6.6564,0,0.7988,"***","c","MicroMacroAlgaeCover","MytilusLoss",0.7164,0.1076,26,6.6564,0,0.7988,"***","c"
"2","MicroMacroAlgaeCover","SAtoVRatio",-2.6126,0.8957,26,-2.9168,0.0072,-0.3382,"**","c","MicroMacroAlgaeCover","SAtoVRatio",-2.6126,0.8957,26,-2.9168,0.0072,-0.3382,"**","c"
"3","MicroMacroAlgaeCover","TideHeight",-69.3265,17.345,26,-3.9969,5e-04,-0.4951,"***","c","MicroMacroAlgaeCover","TideHeight",-69.3265,17.345,26,-3.9969,5e-04,-0.4951,"***","c"
"4","Light","MytilusLoss",6.0475,4.4578,26,1.3566,0.1866,0.236,"","c","Light","MytilusLoss",6.0475,4.4578,26,1.3566,0.1866,1206.59,"","c"
"5","Light","SAtoVRatio",26.4641,37.101,26,0.7133,0.482,0.1199,"","c","Light","SAtoVRatio",26.4641,37.101,26,0.7133,0.482,612.9471,"","c"
"6","Light","TideHeight",143.933,718.4633,26,0.2003,0.8428,0.036,"","c","Light","TideHeight",143.933,718.4633,26,0.2003,0.8428,183.9219,"","c"
"7","MaxTemp","MytilusLoss",0.0113,0.0055,26,2.0812,0.0474,0.3478,"*","c","MaxTemp","MytilusLoss",0.0113,0.0055,26,2.0812,0.0474,0.6376,"*","c"
"8","MaxTemp","SAtoVRatio",0.0331,0.0454,26,0.7308,0.4715,0.1183,"","c","MaxTemp","SAtoVRatio",0.0331,0.0454,26,0.7308,0.4715,0.2168,"","c"
"9","MaxTemp","TideHeight",-0.4305,0.8784,26,-0.49,0.6282,-0.0849,"","c","MaxTemp","TideHeight",-0.4305,0.8784,26,-0.49,0.6282,-0.1556,"","c"
"10","NtoPRatio","MytilusLoss",-0.0304,0.0202,26,-1.5039,0.1447,-0.4203,"","c","NtoPRatio","MytilusLoss",-0.0304,0.0202,26,-1.5039,0.1447,-0.2481,"","c"
"11","NtoPRatio","SAtoVRatio",-0.389,0.1682,26,-2.3121,0.029,-0.6243,"*","c","NtoPRatio","SAtoVRatio",-0.389,0.1682,26,-2.3121,0.029,-0.3686,"*","c"
"12","NtoPRatio","TideHeight",-4.8317,3.2581,26,-1.483,0.1501,-0.4278,"","c","NtoPRatio","TideHeight",-4.8317,3.2581,26,-1.483,0.1501,-0.2526,"","c"
"13","NEP","Light",-3e-04,7e-04,24,-0.4331,0.6688,-0.0692,"","c","NEP","Light",-3e-04,7e-04,24,-0.4331,0.6688,0,"","c"
"14","NEP","MicroMacroAlgaeCover",0.117,0.0242,9,4.8334,9e-04,0.9452,"***","","NEP","MicroMacroAlgaeCover",-0.0156,0.0169,9,-0.9279,0.3777,-0.2307,"",""
"15","NEP","SAtoVRatio",-0.0886,0.1443,24,-0.6138,0.5451,-0.0926,"","c","NEP","SAtoVRatio",-0.0886,0.1443,24,-0.6138,0.5451,-0.1691,"","c"
"16","NEP","NtoPRatio",-0.4052,0.147,24,-2.7566,0.011,-0.2639,"*","c","NEP","NtoPRatio",-0.4052,0.147,24,-2.7566,0.011,-0.8164,"*","c"
"17","NEP","TideHeight",-5.0268,2.4865,24,-2.0217,0.0545,-0.2899,"","c","NEP","TideHeight",-5.0268,2.4865,24,-2.0217,0.0545,-0.5294,"","c"
"18","pH","MytilusLoss",0.0029,6e-04,25,4.6661,1e-04,0.4741,"***","c","pH","MytilusLoss",0.0029,6e-04,25,4.6661,1e-04,0.835,"***","c"
"19","pH","NEP",0.0221,0.0066,25,3.3427,0.0026,0.4012,"**","c","pH","NEP",0.0221,0.0066,25,3.3427,0.0026,0.387,"**","c"
"20","pH","SAtoVRatio",0.0125,0.0047,25,2.655,0.0136,0.2372,"*","c","pH","SAtoVRatio",0.0125,0.0047,25,2.655,0.0136,0.4178,"*","c"
"21","pH","TideHeight",0.212,0.0992,25,2.138,0.0425,0.222,"*","c","pH","TideHeight",0.212,0.0992,25,2.138,0.0425,0.3909,"*","c"
"22","NEC","pH",2.1808,2.3129,24,0.9429,0.3551,0.3642,"","c","NEC","pH",2.1808,2.3129,24,0.9429,0.3551,0.2099,"","c"
"23","NEC","MytilusLoss",0.0052,0.0119,24,0.4358,0.6669,0.142,"","c","NEC","MytilusLoss",0.0052,0.0119,24,0.4358,0.6669,0.1441,"","c"
"24","NEC","SAtoVRatio",-0.0861,0.0701,24,-1.2281,0.2313,-0.2729,"","c","NEC","SAtoVRatio",-0.0861,0.0701,24,-1.2281,0.2313,-0.277,"","c"
"25","NEC","MaxTemp",-0.6858,0.2825,24,-2.4272,0.0231,-0.6082,"*","c","NEC","MaxTemp",-0.6858,0.2825,24,-2.4272,0.0231,-0.3369,"*","c"
"26","NEC","TideHeight",-2.1848,1.276,24,-1.7122,0.0997,-0.382,"","c","NEC","TideHeight",-2.1848,1.276,24,-1.7122,0.0997,-0.3878,"","c"
