"","Day.Response","Day.Predictor","Day.Estimate","Day.Std.Error","Day.DF","Day.Crit.Value","Day.P.Value","Day.Std.Estimate","Day.","Day..1","Night.Response","Night.Predictor","Night.Estimate","Night.Std.Error","Night.DF","Night.Crit.Value","Night.P.Value","Night.Std.Estimate","Night.","Night..1"
"1","MicroMacroAlgaeCover","MytilusLoss",0.7108,0.1283,26,5.5394,0,0.7926,"***","c","MicroMacroAlgaeCover","MytilusLoss",0.7108,0.1283,26,5.5394,0,0.7926,"***","c"
"2","MicroMacroAlgaeCover","Volume",-4.9134,19.9894,26,-0.2458,0.8078,-0.0343,"","c","MicroMacroAlgaeCover","Volume",-4.9134,19.9894,26,-0.2458,0.8078,-0.0347,"","c"
"3","MicroMacroAlgaeCover","TideHeight",-54.7849,20.9686,26,-2.6127,0.0147,-0.3913,"*","c","MicroMacroAlgaeCover","TideHeight",-54.7849,20.9686,26,-2.6127,0.0147,-0.3913,"*","c"
"4","MaxTemp","MytilusLoss",0.011,0.0057,26,1.9223,0.0656,0.3386,"","c","MaxTemp","MytilusLoss",0.011,0.0057,26,1.9223,0.0656,0.6206,"","c"
"5","MaxTemp","Volume",-0.2111,0.8877,26,-0.2378,0.8139,-0.0407,"","c","MaxTemp","Volume",-0.2111,0.8877,26,-0.2378,0.8139,-0.0754,"","c"
"6","MaxTemp","TideHeight",-0.504,0.9312,26,-0.5412,0.593,-0.0994,"","c","MaxTemp","TideHeight",-0.504,0.9312,26,-0.5412,0.593,-0.1821,"","c"
"7","NtoPRatio","MytilusLoss",-0.0252,0.0208,26,-1.212,0.2364,-0.3637,"","c","NtoPRatio","MytilusLoss",-0.0252,0.0208,26,-1.212,0.2364,-0.2542,"","c"
"8","NtoPRatio","Volume",4.4045,3.233,26,1.3624,0.1848,0.398,"","c","NtoPRatio","Volume",4.4045,3.233,26,1.3624,0.1848,0.2813,"","c"
"9","NtoPRatio","TideHeight",-4.3124,3.3914,26,-1.2716,0.2148,-0.3986,"","c","NtoPRatio","TideHeight",-4.3124,3.3914,26,-1.2716,0.2148,-0.2786,"","c"
"10","NEP","NtoPRatio",-0.3265,0.1352,26,-2.4154,0.023,-0.2037,"*","c","NEP","NtoPRatio",-0.3265,0.1352,26,-2.4154,0.023,-0.5322,"*","c"
"11","NEP","MicroMacroAlgaeCover",0.1106,0.0189,11,5.8506,1e-04,0.8933,"***","","NEP","MicroMacroAlgaeCover",-0.017,0.0149,11,-1.136,0.2801,-0.2505,"",""
"12","NEP","TideHeight",-4.2301,2.2602,26,-1.8716,0.0726,-0.244,"","c","NEP","TideHeight",-4.2301,2.2602,26,-1.8716,0.0726,-0.4455,"","c"
"13","pH","MytilusLoss",0.0029,7e-04,26,4.2388,3e-04,0.4744,"***","c","pH","MytilusLoss",0.0029,7e-04,26,4.2388,3e-04,0.8318,"***","c"
"14","pH","NEP",0.0215,0.0073,26,2.9495,0.0067,0.3906,"**","c","pH","NEP",0.0215,0.0073,26,2.9495,0.0067,0.375,"**","c"
"15","pH","TideHeight",0.15,0.106,26,1.415,0.1689,0.1572,"","c","pH","TideHeight",0.15,0.106,26,1.415,0.1689,0.2756,"","c"
"16","NEC","pH",2.447,1.6013,26,1.5281,0.1386,0.4083,"","c","NEC","pH",2.447,1.6013,26,1.5281,0.1386,0.2364,"","c"
"17","NEC","MaxTemp",-0.686,0.2792,26,-2.4575,0.021,-0.6084,"*","c","NEC","MaxTemp",-0.686,0.2792,26,-2.4575,0.021,-0.337,"*","c"
"18","NEC","TideHeight",-1.5386,1.1952,26,-1.2873,0.2093,-0.269,"","c","NEC","TideHeight",-1.5386,1.1952,26,-1.2873,0.2093,-0.2731,"","c"
