"","Response","Predictor","Test.Stat","DF","P.Value",""
"5","MicroMacroAlgaeCover","MytilusLoss:Day_Night",19748.2,1,1,""
"6","MicroMacroAlgaeCover","Day_Night:SAtoVRatio",19748.2,1,1,""
"7","MicroMacroAlgaeCover","Day_Night:TideHeight",19748.2,1,1,""
"12","MaxTemp","MytilusLoss:Day_Night",5,1,0.0864,""
"13","MaxTemp","Day_Night:SAtoVRatio",5,1,0.5494,""
"14","MaxTemp","Day_Night:TideHeight",5,1,0.979,""
"19","NtoPRatio","MytilusLoss:Day_Night",35.6,1,0.4367,""
"20","NtoPRatio","Day_Night:SAtoVRatio",35.6,1,0.1915,""
"21","NtoPRatio","Day_Night:TideHeight",35.6,1,0.5571,""
"28","NEP","MaxTemp:Day_Night",0.2,1,0.0216,"*"
"29","NEP","Day_Night:MicroMacroAlgaeCover",0.2,1,0,"***"
"30","NEP","Day_Night:SAtoVRatio",0.2,1,0.3922,""
"31","NEP","Day_Night:NtoPRatio",0.2,1,0.9087,""
"32","NEP","Day_Night:TideHeight",0.2,1,0.2328,""
"38","pH","MytilusLoss:Day_Night",0.2,1,0.8412,""
"39","pH","Day_Night:NEP",0.2,1,0.7182,""
"40","pH","Day_Night:SAtoVRatio",0.2,1,0.4993,""
"41","pH","Day_Night:TideHeight",0.2,1,0.8866,""
"48","NEC","pH:Day_Night",0.1,1,0.6517,""
"49","NEC","Day_Night:MytilusLoss",0.1,1,0.2788,""
"50","NEC","Day_Night:SAtoVRatio",0.1,1,0.1603,""
"51","NEC","Day_Night:MaxTemp",0.1,1,0.1095,""
"52","NEC","Day_Night:TideHeight",0.1,1,0.7367,""
