"","Response","Predictor","Test.Stat","DF","P.Value",""
"5","MicroMacroAlgaeCover","PhyllospadixLoss:Day_Night",7505.6,1,1,""
"6","MicroMacroAlgaeCover","Day_Night:SAtoVRatio",7505.6,1,1,""
"7","MicroMacroAlgaeCover","Day_Night:TideHeight",7505.6,1,1,""
"12","MaxTemp","PhyllospadixLoss:Day_Night",16.7,1,0.0123,"*"
"13","MaxTemp","Day_Night:SAtoVRatio",16.7,1,0.5792,""
"14","MaxTemp","Day_Night:TideHeight",16.7,1,0.7532,""
"19","NtoPRatio","PhyllospadixLoss:Day_Night",20.8,1,0.9926,""
"20","NtoPRatio","Day_Night:SAtoVRatio",20.8,1,0.1984,""
"21","NtoPRatio","Day_Night:TideHeight",20.8,1,0.8566,""
"28","NEP","MaxTemp:Day_Night",95,1,0.5369,""
"29","NEP","Day_Night:MicroMacroAlgaeCover",95,1,0.3484,""
"30","NEP","Day_Night:NtoPRatio",95,1,0.4513,""
"31","NEP","Day_Night:SAtoVRatio",95,1,0.9871,""
"32","NEP","Day_Night:TideHeight",95,1,0.8855,""
"38","pH","NEP:Day_Night",0,1,0.0024,"**"
"39","pH","Day_Night:PhyllospadixLoss",0,1,0.7249,""
"40","pH","Day_Night:SAtoVRatio",0,1,0.0222,"*"
"41","pH","Day_Night:TideHeight",0,1,0.5312,""
"48","NEC","pH:Day_Night",14.9,1,0.4406,""
"49","NEC","Day_Night:PhyllospadixLoss",14.9,1,0.5828,""
"50","NEC","Day_Night:MaxTemp",14.9,1,0.0428,"*"
"51","NEC","Day_Night:SAtoVRatio",14.9,1,0.5402,""
"52","NEC","Day_Night:TideHeight",14.9,1,0.0835,""
